Provider Number,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
140084,10.1,14.6
140088,11.7,11.2
140089,13.4,11.1
14008F,10.5,10.3
140091,12.9,11.3
140093,13,12.7
140095,9.2,11
140100,Not Available,Not Available
140101,11.9,13.9
140103,10,12.7
140110,12.7,13.4
140113,11.4,12.6
140114,9.8,9
140115,9.6,10.7
140116,11.5,11.8
140117,10.2,9.9
140118,8.8,10.3
140119,6.8,9.5
140120,13.7,13.8
140122,9.9,9.4
140124,9.8,10.9
140125,10.8,14.1
140127,14.3,14.2
140130,11.1,7.9
140133,11.4,11.7
140135,14,12.6
140137,12.6,9.9
140143,11.5,13.4
140145,13.4,12.4
140147,13.1,10.4
140148,13.1,12.6
140150,10.1,10.3
140151,7.6,Not Available
140155,9.7,9.3
140158,9,12
140160,14.8,12.9
140161,12.7,11.9
140162,15.4,12.7
140164,11.7,13.3
140166,11,12
140167,11.9,11.5
140172,7.4,11.5
140174,11.7,10.4
140176,11.6,12.1
140177,11.3,11.4
140179,10.4,11.1
140180,7.8,10
140181,8.7,10.2
140182,8.5,11.5
140184,10.9,13.4
140185,11.2,13.4
140186,10.6,10.7
140187,12.6,12.8
140189,11.7,10.9
140191,8.1,9.3
140197,11.3,9.6
140200,11.1,8.6
140202,11.1,12.2
140206,9.5,12.5
140208,9.8,9.6
140209,11.7,10.7
140210,11.7,12
140211,11.2,10.6
140213,10.1,11.3
140217,12.1,10.1
140223,13.3,11.9
140224,7.1,8.7
140228,12.1,10.5
140231,10.2,10.9
140233,12.9,11.9
140234,10.8,13.1
140239,13.5,11.6
140240,11.9,11.8
140242,12.1,11.8
140250,9.5,9.6
140251,11.5,13.8
140252,11.9,12.8
140258,8.4,9.6
140275,12,12.7
140276,8.6,12.8
140280,11.3,13.1
140281,8.8,11.2
140286,12,13.2
140288,9.5,11.3
140289,13.2,14.1
