Provider Id,Provider Zip Code,Provider State,Zip Latitude,Zip Longitude
100052,33881,FL,28.051985,-81.72457
100053,33013,FL,25.860373,-80.27174
100054,32578,FL,30.500901,-86.45335
100055,34689,FL,28.149691,-82.75339
100057,32778,FL,28.799017,-81.73184
100061,33133,FL,25.730678,-80.24410
100062,34474,FL,29.166186,-82.17027
100063,34652,FL,28.237582,-82.72818
100067,33705,FL,27.741306,-82.64349
100068,32117,FL,29.238606,-81.05316
100069,33614,FL,28.006247,-82.50632
100070,34285,FL,27.091783,-82.44846
100071,34601,FL,28.566183,-82.38002
100072,32763,FL,28.945857,-81.30512
100073,33308,FL,26.191111,-80.10846
100075,33677,FL,28.127973,-82.36123
100076,33126,FL,25.777977,-80.29718
100077,33952,FL,26.993876,-82.09821
100080,33462,FL,26.579714,-80.07437
100081,32435,FL,30.747244,-86.14665
100084,34748,FL,28.797245,-81.88466
100086,33064,FL,26.279108,-80.11319
100087,34239,FL,27.310924,-82.52130
100088,32207,FL,30.294389,-81.63740
100090,32086,FL,29.811123,-81.30987
100092,32955,FL,28.308581,-80.72558
100093,32501,FL,30.420997,-87.22305
100099,33853,FL,27.894622,-81.52824
100102,32055,FL,30.216073,-82.63960
100105,32960,FL,27.636828,-80.40294
100106,32348,FL,30.080602,-83.58119
100107,33936,FL,26.588982,-81.61163
100109,33871,FL,27.483817,-81.42131
100110,34741,FL,28.301788,-81.42159
100113,32610,FL,29.713911,-82.29591
100117,32250,FL,30.284641,-81.39844
100118,32164,FL,29.499591,-81.22328
100121,33831,FL,27.894991,-81.82638
100122,32539,FL,30.757479,-86.51088
100124,32570,FL,30.709690,-87.01098
100125,33033,FL,25.487988,-80.42692
100126,33707,FL,27.756505,-82.71764
100127,33756,FL,27.944631,-82.78702
100128,33606,FL,27.936799,-82.46911
100130,33430,FL,26.685125,-80.66279
100131,33180,FL,25.962069,-80.14465
100132,33563,FL,28.143377,-82.59054
100135,32308,FL,30.531677,-84.16049
100137,33837,FL,28.223014,-81.63131
100139,32696,FL,29.369207,-82.49831
100140,32034,FL,30.641487,-81.46092
100142,32446,FL,30.804698,-85.22060
100150,33040,FL,24.567593,-81.75660
100151,32224,FL,30.284511,-81.47043
100154,33143,FL,25.702929,-80.29642
100156,32055,FL,30.216073,-82.63960
100157,33805,FL,28.071564,-81.95802
